# Created by CS-Studio Data Browser
# 
# Start Time : 2022-02-03 10:24:24.852
# End Time   : 2022-02-26 14:19:50.934
# Source     : Optimized Archived Data
# Desired Value Count: 10000.0
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: HAD:STS:GAS:measure0
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure1
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure2
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure3
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure4
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure5
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 

# Time	HAD:STS:GAS:measure0 Value	HAD:STS:GAS:measure1 Value	HAD:STS:GAS:measure2 Value	HAD:STS:GAS:measure3 Value	HAD:STS:GAS:measure4 Value	HAD:STS:GAS:measure5 Value
2022-02-03 15:58:20.000	387.41	43.32	199.99	200.03	2.00	2.00
2022-02-03 16:01:40.000	379.14	42.22	200.03	200.04	2.00	2.00
2022-02-03 16:05:00.000	370.07	41.02	200.00	200.02	2.00	2.00
2022-02-03 16:08:20.000	378.30	42.07	199.99	200.01	2.00	2.00
2022-02-03 16:11:40.000	376.20	41.60	200.01	199.98	2.00	2.00
2022-02-03 16:15:00.000	383.14	42.71	199.99	200.01	2.00	2.00
2022-02-03 16:18:20.000	376.98	42.20	200.00	199.98	2.00	2.00
2022-02-03 16:21:40.000	381.54	42.20	199.99	200.01	2.00	2.00
2022-02-03 16:25:00.000	368.60	41.48	199.99	200.01	2.00	2.00
2022-02-03 16:28:20.000	379.97	42.47	200.00	200.01	2.00	2.00
2022-02-03 16:31:40.000	376.54	41.90	200.01	200.03	2.00	2.00
2022-02-03 16:35:00.000	376.99	42.07	199.99	199.99	2.00	2.00
2022-02-03 16:38:20.000	372.99	41.53	199.99	200.00	2.00	2.00
2022-02-03 16:41:40.000	368.93	40.78	200.01	200.00	2.00	2.00
2022-02-03 16:45:00.000	371.92	41.29	199.99	200.02	2.00	2.00
2022-02-03 16:48:20.000	386.01	42.49	200.01	199.99	2.00	2.00
2022-02-03 16:51:40.000	369.27	41.10	199.99	199.99	2.00	2.00
2022-02-03 16:55:00.000	365.99	40.66	200.00	200.00	2.00	2.00
2022-02-03 16:58:20.000	377.62	42.22	199.99	200.00	2.00	2.00
2022-02-03 17:01:40.000	382.84	42.45	200.01	200.01	2.00	2.00
2022-02-03 17:05:00.000	380.54	42.74	200.01	200.01	2.00	2.00
2022-02-03 17:08:20.000	378.46	41.95	200.02	199.98	2.00	2.00
2022-02-03 17:11:40.000	375.07	41.74	200.00	200.01	2.00	2.00
2022-02-03 17:15:00.000	374.90	41.53	199.98	199.98	2.00	2.00
2022-02-03 17:18:20.000	382.06	42.48	200.01	200.00	2.00	2.00
